full,abbr
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE Trans. Aerosp. Electron. Syst.
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE Trans. Antennas Propag.
IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS,IEEE Antennas Wireless Propag. Lett.
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,IEEE Trans. Appl. Supercond.
"IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH, AND LANGUAGE PROCESSING","IEEE/ACM Trans. Audio, Speech, Language Process."
"IEEE TRANSACTIONS ON AUDIO, SPEECH, AND LANGUAGE PROCESSING","IEEE Trans. Audio, Speech, Language Process."
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE Trans. Autom. Control
IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,IEEE Trans. Autom. Sci. Eng.
IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT,IEEE Trans. Auton. Mental Develop.
IEEE TRANSACTIONS ON BIG DATA,IEEE Trans. Big Data
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,IEEE J. Biomed. Health Inform.
IEEE TRANSACTIONS ON BIOMEDICALCIRCUITS AND SYSTEMS,IEEE Trans. Biomed. Circuits Syst.
IEEE REVIEWS IN BIOMEDICAL ENGINEERING,IEEE Rev. Biomed. Eng.
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,IEEE Trans. Biomed. Eng.
IEEE TRANSACTIONS ON BROADCASTING,IEEE Trans. Broadcast.
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS-I:REGULAR PAPERS,"IEEE Trans. Circuits Syst. I, Reg. Papers"
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS-II: EXPRESS BRIEFS,"IEEE Trans. Circuits Syst. II, Exp. Briefs"
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS-I: FUNDAMENTAL THEORY AND APPLICATIONS,"IEEE Trans. Circuits Syst. I, Fundam. Theory Appl."
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS-II:ANALOG AND DIGITAL SIGNAL PROCESSING,"IEEE Trans. Circuits Syst. II, Analog Digit. Signal Process."
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,IEEE Trans. Circuits Syst. Video Technol.
IEEE TRANSACTIONS ON CLOUD COMPUTING,IEEE Trans. Cloud Comput.
IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,IEEE Trans. Cogn. Commun. Netw.
IEEE TRANSACTIONS ON COMMUNICATIONS,IEEE Trans. Commun.
IEEE COMMUNICATIONS LETTERS,IEEE Commun. Lett.
IEEE COMMUNICATIONS SURVEYS &TUTORIALS,IEEE Commun. Surveys Tuts.
"IEEE TRANSACTIONS ON COMPONENTS, PACKAGING AND MANUFACTURING TECHNOLOGY",IEEE Trans. Compon. Packag. Manuf. Technol.
IEEE/ACMTRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,IEEE/ACM Trans. Comput. Biol. Bioinf.
IEEE TRANSACTIONS ON COMPUTATIONAL INTELLIGENCE AND AI IN GAMES,IEEE Trans. Comput. Intell. AI in Games
IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,IEEE Trans. Comput. Social Syst.
IEEE TRANSACTIONS ON COMPUTERS,IEEE Trans. Comput.
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE Trans. Comput.-Aided Design Integr. Circuits Syst.
IEEE COMPUTER ARCHITECTURAL LETTERS,IEEE Comput. Archit. Lett.
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,IEEE Trans. Consum. Electron.
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE Trans. Control Syst. Technol.
IEEE TRANSACTIONS ON CYBERNETICS,IEEE Trans. Cybern.
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,IEEE Trans. Device Mater. Rel.
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,IEEE Trans. Dielectr. Electr. Insul.
IEEE/OSA JOURNAL OF DISPLAY TECHNOLOGY,J. Display Technol.
IEEE TRANSACTIONS ON EDUCATION,IEEE Trans. Educ.
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,IEEE Trans. Electromagn. Compat.
IEEE TRANSACTIONS ON ELECTRON DEVICES,IEEE Trans. Electron Devices
IEEE JOURNAL OF ELECTRON DEVICES SOCIETY,IEEE J. Electron Devices Soc.
IEEE ELECTRON DEVICE LETTERS,IEEE Electron Device Lett.
IEEE TRANSACTIONS ON ELECTRONICS PACKAGING MANUFACTURING,IEEE Trans. Electron. Packag. Manuf.
IEEE EMBEDDED SYSTEMS LETTERS,IEEE Embedded Syst. Lett.
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,IEEE Trans. Emerg. Topics Comput.
IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,IEEE J. Emerg. Sel. Topics Circuits Syst.
IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,IEEE J. Emerg. Sel. Topics Power Electron.
IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE Trans. Energy Convers.
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE Trans. Eng. Manag.
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE Trans. Evol. Comput.
IEEE TRANSACTIONS ON EXPLORATORY SOLID-STATE COMPUTATIONAL DEVICES AND CIRCUITS,IEEE Trans. Explor. Solid-State Comput. Devices Circuits
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE Trans. Fuzzy Syst.
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE Trans. Geosci. Remote Sens.
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,IEEE Geosci. Remote Sens. Lett.
IEEE TRANSACTIONS ON HUMAN–MACHINE SYSTEMS,IEEE Trans. Human–Mach. Syst.
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE Trans. Image Process.
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE Trans. Ind. Electron.
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,IEEE Trans. Ind. Informat.
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,IEEE Trans. Ind. Appl.
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,IEEE Trans. Inf. Forensics Security
IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE Trans. Inf. Theory
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,IEEE Trans. Instrum. Meas.
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE Trans. Intell. Transp. Syst.
IEEE INTERNET OF THINGS JOURNAL,IEEE Internet Things J.
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE Trans. Knowl. Data Eng.
IEEE LIFE SCIENCES LETTERS,IEEE Life Sci. Lett.
IEEE/OSA JOURNAL OF LIGHTWAVE TECHNOLOGY,J. Lightw. Technol.
IEEE TRANSACTIONS ON MAGNETICS,IEEE Trans. Magn.
IEEE MAGNETICS LETTERS,IEEE Magn. Lett.
IEEE/ASME TRANSACTIONS ON MECHATRONICS,IEEE/ASME Trans. Mechatronics
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE Trans. Med. Imag.
IEEE JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,J. Microelectromech. Syst.
IEEE/ASME JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,IEEE Microw. Compon. Lett.
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,IEEE Microw. Guided Wave Lett. 
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,IEEE Trans. Microw. Theory Techn.
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE Trans. Mobile Comput.
