full,abbr
ACOUSTICS,Acoust.
ADMINISTRATION,Admin.
ADMINISTRATIVE,Administ.
AMERICAN,Amer.
ANALYSIS,Anal.
ANNALS,Ann.
ANNUAL,Annu.
APPARATUS,App.
APPLICATIONS,Appl.
APPLIED,Appl.
ASSOCIATION,Assoc.
AUTOMATIC,Automat.
BRITISH,Brit.
BROADCASTING,Broadcast.
BUSINESS,Bus.
CANADIAN,Can.
CHINESE,Chin.
COMMUNICATIONS,Commun.
COMPUTERS,Comput.
COMPUTER,Comput.
CONFERENCE,Conf.
CONGRESS,Congr.
CONVENTION,Conv.
CORRESPONDENCE,Corresp.
CYBERNETICS,Cybern.
DEPARTMENT,Dept.
DEVELOPMENT,Develop.
DIGEST,Dig.
ECONOMICS,Econ.
ECONOMIC,Econ.
EDUCATION,Edu.
ELECTRICAL,Elect.
ELECTRONIC,Electron.
ENGINEERING,Eng.
ERGONOMICS,Ergonom.
EUROPEAN,Eur.
EVOLUTIONARY,Evol.
FOUNDATION,Found.
GEOSCIENCE,Geosci.
GRAPHICS,Graph.
INDUSTRIAL,Ind.
INFORMATION,Inform.
INSTITUTE,Inst.
INTELLIGENCE,Intell.
INTERNATIONAL,Int.
JAPAN,Jpn.
JOURNAL,J.
LETTERS,Lett.
LETTER,Lett.
MACHINE,Mach.
MAGAZINE,Mag.
MANAGEMENT,Manage.
MANAGING,Manag.
MATHEMATICAL,Math.
MECHANICAL,Mech.
NATIONAL,Nat.
NEWSLETTER,Newslett.
NUCLEAR,Nucl.
OCCUPATION,Occupat.
OPERATIONAL,Oper.
OPTICAL,Opt.
OPTICS,Opt.
ORGANIZATION,Org.
PHILOSOPHICAL,Philosoph.
PROCEEDINGS,Proc.
PROCESSING,Process.
PRODUCTION,Prod.
PRODUCTIVITY,Productiv.
QUARTERLY,Quart.
RECORD,Rec.
RELIABILITY,Rel.
REPORT,Rep.
RESEARCH,Res.
REVIEW,Rev.
ROYAL,Roy.
SCIENCE,Sci.
SELECTED,Select.
SOCIETY,Soc.
SOCIOLOGICAL,Sociol.
STATISTICS,Statist.
STUDIES,Stud.
SUPPLEMENT,Suppl.
SYMPOSIUM,Symp.
SYSTEMS,Syst.
TECHNICAL,Tech.
TECHNIQUES,Techn.
TECHNOLOGY,Technol.
TELECOMMUNICATIONS,Telecommun.
TRANSACTIONS,Trans.
VEHICULAR,Veh.
WORKING,Work.
INSTRUMENTATION,Instrum.
MEASUREMENT,Meas.
INFORMATICS,Inform.
ELECTRONICS,Electron.
AUTOMATION,Autom.
